Processing example number: 1, Real Label = 90-150, Prediction: 90-157
Processing example number: 39, Real Label = 118-157, Prediction: 117-157
Processing example number: 40, Real Label = 120-181, Prediction: 120-199
Processing example number: 41, Real Label = 120-150, Prediction: 121-151
Processing example number: 42, Real Label = 109-148, Prediction: 109-162
Processing example number: 43, Real Label = 113-164, Prediction: 112-166
Processing example number: 44, Real Label = 117-155, Prediction: 114-174
Processing example number: 45, Real Label = 135-164, Prediction: 135-163
Processing example number: 46, Real Label = 105-135, Prediction: 103-135
Processing example number: 47, Real Label = 132-189, Prediction: 130-196
Processing example number: 48, Real Label = 100-154, Prediction: 98-154
Processing example number: 49, Real Label = 154-190, Prediction: 154-185
Processing example number: 50, Real Label = 118-170, Prediction: 117-166
Processing example number: 51, Real Label = 101-164, Prediction: 108-172
Processing example number: 52, Real Label = 111-171, Prediction: 109-193
Processing example number: 53, Real Label = 93-125, Prediction: 89-122
Processing example number: 54, Real Label = 103-151, Prediction: 103-148
Processing example number: 55, Real Label = 87-128, Prediction: 87-125
Processing example number: 56, Real Label = 130-170, Prediction: 129-163
Processing example number: 57, Real Label = 172-220, Prediction: 173-217
Processing example number: 58, Real Label = 137-198, Prediction: 136-197
Processing example number: 59, Real Label = 104-152, Prediction: 105-150
Processing example number: 60, Real Label = 229-271, Prediction: 227-275
Processing example number: 61, Real Label = 109-147, Prediction: 108-145
Processing example number: 62, Real Label = 97-131, Prediction: 97-128
Processing example number: 63, Real Label = 89-131, Prediction: 88-129
Processing example number: 64, Real Label = 92-138, Prediction: 92-137
Processing example number: 65, Real Label = 114-159, Prediction: 113-156
Processing example number: 66, Real Label = 119-160, Prediction: 119-156
Processing example number: 67, Real Label = 181-216, Prediction: 181-215
Processing example number: 68, Real Label = 91-150, Prediction: 89-144
Processing example number: 69, Real Label = 114-187, Prediction: 115-184
Processing example number: 70, Real Label = 101-142, Prediction: 101-141
Processing example number: 71, Real Label = 125-187, Prediction: 125-187
Processing example number: 72, Real Label = 124-161, Prediction: 124-160
Processing example number: 73, Real Label = 157-191, Prediction: 159-197
Processing example number: 74, Real Label = 165-199, Prediction: 160-196
Processing example number: 75, Real Label = 115-162, Prediction: 115-168
Processing example number: 76, Real Label = 117-150, Prediction: 117-180
Processing example number: 77, Real Label = 111-146, Prediction: 110-151
Processing example number: 78, Real Label = 90-124, Prediction: 89-123
Processing example number: 79, Real Label = 111-136, Prediction: 111-135
Processing example number: 80, Real Label = 109-133, Prediction: 109-135
Processing example number: 81, Real Label = 99-164, Prediction: 99-170
Processing example number: 82, Real Label = 97-143, Prediction: 98-142
Processing example number: 83, Real Label = 137-165, Prediction: 134-174
Processing example number: 84, Real Label = 105-139, Prediction: 105-135
Processing example number: 85, Real Label = 121-154, Prediction: 121-153
Processing example number: 86, Real Label = 111-137, Prediction: 111-134
Processing example number: 87, Real Label = 134-203, Prediction: 135-201
Processing example number: 88, Real Label = 169-217, Prediction: 169-216
Processing example number: 89, Real Label = 93-137, Prediction: 91-143
Processing example number: 90, Real Label = 90-122, Prediction: 90-134
Processing example number: 91, Real Label = 110-141, Prediction: 111-139
Processing example number: 92, Real Label = 103-138, Prediction: 105-134
Processing example number: 93, Real Label = 111-175, Prediction: 111-174
Processing example number: 94, Real Label = 88-120, Prediction: 88-118
Processing example number: 95, Real Label = 151-184, Prediction: 151-194
Processing example number: 96, Real Label = 95-158, Prediction: 95-158
Processing example number: 97, Real Label = 110-179, Prediction: 110-184
Processing example number: 98, Real Label = 95-134, Prediction: 94-132
Processing example number: 99, Real Label = 103-156, Prediction: 102-156
Processing example number: 100, Real Label = 97-135, Prediction: 97-144
Processing example number: 101, Real Label = 105-156, Prediction: 106-152
Processing example number: 102, Real Label = 110-169, Prediction: 110-160
Processing example number: 103, Real Label = 115-157, Prediction: 115-161
Processing example number: 104, Real Label = 114-145, Prediction: 109-179
Processing example number: 105, Real Label = 104-139, Prediction: 106-137
Processing example number: 106, Real Label = 124-167, Prediction: 121-166
Processing example number: 107, Real Label = 147-172, Prediction: 144-166
Processing example number: 108, Real Label = 144-176, Prediction: 125-175
Processing example number: 109, Real Label = 121-180, Prediction: 117-186
Processing example number: 110, Real Label = 122-165, Prediction: 122-164
Processing example number: 111, Real Label = 111-137, Prediction: 104-137
Processing example number: 112, Real Label = 142-174, Prediction: 138-173
Processing example number: 113, Real Label = 109-169, Prediction: 108-189
Processing example number: 114, Real Label = 105-164, Prediction: 101-172
Processing example number: 115, Real Label = 113-145, Prediction: 109-143
Processing example number: 116, Real Label = 108-155, Prediction: 105-148
Processing example number: 117, Real Label = 97-135, Prediction: 93-134
Processing example number: 118, Real Label = 130-178, Prediction: 129-173
Processing example number: 119, Real Label = 86-136, Prediction: 85-135
Processing example number: 120, Real Label = 120-172, Prediction: 116-178
Processing example number: 121, Real Label = 96-127, Prediction: 94-124
Processing example number: 122, Real Label = 125-187, Prediction: 123-182
Processing example number: 123, Real Label = 115-168, Prediction: 115-165
Processing example number: 124, Real Label = 113-152, Prediction: 113-151
Processing example number: 125, Real Label = 101-145, Prediction: 97-145
Processing example number: 126, Real Label = 111-143, Prediction: 109-141
Processing example number: 127, Real Label = 85-116, Prediction: 82-140
Processing example number: 128, Real Label = 116-153, Prediction: 114-152
Processing example number: 129, Real Label = 182-220, Prediction: 179-216
Processing example number: 130, Real Label = 141-182, Prediction: 137-187
Processing example number: 131, Real Label = 133-194, Prediction: 131-216
Processing example number: 132, Real Label = 108-160, Prediction: 100-166
Processing example number: 133, Real Label = 123-163, Prediction: 119-159
Processing example number: 134, Real Label = 162-220, Prediction: 157-237
Processing example number: 135, Real Label = 133-171, Prediction: 130-168
Processing example number: 136, Real Label = 209-241, Prediction: 205-241
Processing example number: 137, Real Label = 98-136, Prediction: 97-134
Processing example number: 138, Real Label = 105-160, Prediction: 104-154
Processing example number: 139, Real Label = 90-117, Prediction: 89-116
Processing example number: 140, Real Label = 131-186, Prediction: 126-184
Processing example number: 141, Real Label = 125-181, Prediction: 121-179
Processing example number: 142, Real Label = 102-167, Prediction: 99-164
Processing example number: 143, Real Label = 143-172, Prediction: 139-171
Processing example number: 144, Real Label = 123-157, Prediction: 121-156
Processing example number: 145, Real Label = 106-130, Prediction: 93-127
Processing example number: 146, Real Label = 117-170, Prediction: 113-170
Processing example number: 147, Real Label = 109-153, Prediction: 109-151
Processing example number: 148, Real Label = 177-207, Prediction: 173-205
Processing example number: 149, Real Label = 108-159, Prediction: 108-156
Processing example number: 150, Real Label = 120-154, Prediction: 116-151
Processing example number: 151, Real Label = 123-152, Prediction: 109-151
Processing example number: 152, Real Label = 115-149, Prediction: 114-147
Processing example number: 153, Real Label = 122-187, Prediction: 120-186
Processing example number: 154, Real Label = 85-144, Prediction: 83-141
Processing example number: 155, Real Label = 121-160, Prediction: 119-154
Processing example number: 156, Real Label = 122-152, Prediction: 120-151
Processing example number: 157, Real Label = 108-141, Prediction: 106-136
Processing example number: 158, Real Label = 95-137, Prediction: 96-135
Processing example number: 159, Real Label = 114-167, Prediction: 117-167
Processing example number: 160, Real Label = 108-150, Prediction: 107-149
Processing example number: 161, Real Label = 119-185, Prediction: 115-192
Processing example number: 162, Real Label = 100-151, Prediction: 101-149
Processing example number: 163, Real Label = 96-159, Prediction: 96-160
Processing example number: 164, Real Label = 106-173, Prediction: 106-170
Processing example number: 165, Real Label = 122-178, Prediction: 123-196
Processing example number: 166, Real Label = 96-139, Prediction: 96-136
Processing example number: 167, Real Label = 199-243, Prediction: 197-254
Processing example number: 168, Real Label = 114-137, Prediction: 92-134
Processing example number: 169, Real Label = 117-151, Prediction: 117-160
Processing example number: 170, Real Label = 89-123, Prediction: 78-121
Processing example number: 171, Real Label = 108-132, Prediction: 107-132
Processing example number: 172, Real Label = 112-155, Prediction: 112-158
Processing example number: 173, Real Label = 131-181, Prediction: 134-186
Processing example number: 174, Real Label = 101-131, Prediction: 103-128
Processing example number: 175, Real Label = 141-189, Prediction: 143-187
Processing example number: 176, Real Label = 99-137, Prediction: 100-137
Processing example number: 177, Real Label = 123-154, Prediction: 123-161
Processing example number: 178, Real Label = 148-183, Prediction: 148-183
Processing example number: 179, Real Label = 124-172, Prediction: 123-167
Processing example number: 180, Real Label = 97-132, Prediction: 96-129
Processing example number: 181, Real Label = 122-169, Prediction: 123-175
Processing example number: 182, Real Label = 102-139, Prediction: 103-138
Processing example number: 183, Real Label = 160-225, Prediction: 159-220
Processing example number: 184, Real Label = 103-146, Prediction: 102-142
Processing example number: 185, Real Label = 202-252, Prediction: 197-248
Processing example number: 186, Real Label = 159-202, Prediction: 160-197
Processing example number: 187, Real Label = 148-205, Prediction: 151-204
Processing example number: 188, Real Label = 139-199, Prediction: 139-196
Processing example number: 189, Real Label = 142-189, Prediction: 141-184
Processing example number: 190, Real Label = 155-206, Prediction: 155-205
Processing example number: 191, Real Label = 108-135, Prediction: 106-135
Processing example number: 192, Real Label = 129-162, Prediction: 127-161
Processing example number: 193, Real Label = 107-144, Prediction: 105-142
Processing example number: 194, Real Label = 122-154, Prediction: 122-154
Processing example number: 195, Real Label = 141-179, Prediction: 140-182
Processing example number: 196, Real Label = 127-189, Prediction: 128-183
Processing example number: 197, Real Label = 135-177, Prediction: 135-181
Processing example number: 198, Real Label = 144-174, Prediction: 143-171
Processing example number: 199, Real Label = 107-136, Prediction: 107-135
Processing example number: 200, Real Label = 119-161, Prediction: 119-157
Processing example number: 201, Real Label = 119-144, Prediction: 117-142
Processing example number: 202, Real Label = 141-180, Prediction: 141-180
Processing example number: 203, Real Label = 146-190, Prediction: 145-189
Processing example number: 204, Real Label = 114-148, Prediction: 113-175
Processing example number: 205, Real Label = 115-145, Prediction: 115-142
Processing example number: 206, Real Label = 105-154, Prediction: 105-150
Processing example number: 207, Real Label = 108-165, Prediction: 108-165
Processing example number: 208, Real Label = 103-157, Prediction: 98-180
Processing example number: 209, Real Label = 116-165, Prediction: 115-163
Processing example number: 210, Real Label = 138-200, Prediction: 137-194
Processing example number: 211, Real Label = 124-174, Prediction: 124-172
Processing example number: 212, Real Label = 130-165, Prediction: 129-165
Processing example number: 213, Real Label = 98-162, Prediction: 99-166
Processing example number: 214, Real Label = 126-161, Prediction: 127-160
Processing example number: 215, Real Label = 171-213, Prediction: 180-211
Processing example number: 216, Real Label = 113-184, Prediction: 109-179
Processing example number: 217, Real Label = 110-149, Prediction: 106-146
Processing example number: 218, Real Label = 121-172, Prediction: 117-166
Processing example number: 219, Real Label = 114-157, Prediction: 113-152
Processing example number: 220, Real Label = 93-137, Prediction: 92-136
Processing example number: 221, Real Label = 105-130, Prediction: 105-129
Processing example number: 222, Real Label = 103-142, Prediction: 103-140
Processing example number: 223, Real Label = 140-193, Prediction: 146-191
Processing example number: 224, Real Label = 157-197, Prediction: 155-218
Processing example number: 225, Real Label = 117-150, Prediction: 117-148
Processing example number: 226, Real Label = 107-139, Prediction: 102-137
Processing example number: 227, Real Label = 99-168, Prediction: 101-164
Processing example number: 228, Real Label = 119-168, Prediction: 120-167
Processing example number: 229, Real Label = 162-210, Prediction: 158-208
Processing example number: 230, Real Label = 145-172, Prediction: 145-170
Processing example number: 231, Real Label = 108-167, Prediction: 109-160
Processing example number: 232, Real Label = 114-153, Prediction: 114-162
Processing example number: 233, Real Label = 157-211, Prediction: 155-224
Processing example number: 234, Real Label = 111-160, Prediction: 110-164
Processing example number: 235, Real Label = 123-174, Prediction: 121-182
Processing example number: 236, Real Label = 105-141, Prediction: 105-138
Processing example number: 237, Real Label = 100-145, Prediction: 95-144
Processing example number: 238, Real Label = 128-164, Prediction: 125-172
Processing example number: 239, Real Label = 128-164, Prediction: 129-162
Processing example number: 240, Real Label = 104-152, Prediction: 102-176
Processing example number: 241, Real Label = 124-190, Prediction: 123-187
Processing example number: 242, Real Label = 142-176, Prediction: 141-175
Processing example number: 243, Real Label = 125-155, Prediction: 122-154
Processing example number: 244, Real Label = 120-144, Prediction: 121-147
Processing example number: 245, Real Label = 102-128, Prediction: 103-127
Processing example number: 246, Real Label = 126-149, Prediction: 122-146
Processing example number: 247, Real Label = 160-199, Prediction: 163-192
Processing example number: 248, Real Label = 181-215, Prediction: 177-214
Processing example number: 249, Real Label = 83-151, Prediction: 85-149
Processing example number: 250, Real Label = 103-162, Prediction: 99-159
Processing example number: 251, Real Label = 94-125, Prediction: 93-126
Processing example number: 252, Real Label = 95-128, Prediction: 89-116
Processing example number: 253, Real Label = 92-133, Prediction: 91-130
Processing example number: 254, Real Label = 91-117, Prediction: 91-104
Processing example number: 255, Real Label = 95-149, Prediction: 94-148
Processing example number: 256, Real Label = 93-141, Prediction: 91-139
Processing example number: 257, Real Label = 92-143, Prediction: 89-122
Processing example number: 258, Real Label = 93-114, Prediction: 86-114
Processing example number: 259, Real Label = 90-113, Prediction: 84-115
Processing example number: 260, Real Label = 101-136, Prediction: 94-135
Processing example number: 261, Real Label = 95-132, Prediction: 93-125
Processing example number: 262, Real Label = 100-170, Prediction: 79-124
Processing example number: 263, Real Label = 109-136, Prediction: 103-133
Processing example number: 264, Real Label = 80-136, Prediction: 78-134
Processing example number: 265, Real Label = 86-139, Prediction: 82-116
Processing example number: 266, Real Label = 98-133, Prediction: 93-130
Processing example number: 267, Real Label = 100-163, Prediction: 95-134
Processing example number: 268, Real Label = 84-167, Prediction: 83-164
Processing example number: 269, Real Label = 91-143, Prediction: 90-136
Processing example number: 270, Real Label = 83-120, Prediction: 81-111
Processing example number: 271, Real Label = 117-151, Prediction: 115-143
Processing example number: 272, Real Label = 84-124, Prediction: 79-122
Processing example number: 273, Real Label = 103-150, Prediction: 98-148
Processing example number: 274, Real Label = 92-126, Prediction: 87-127
Processing example number: 275, Real Label = 85-126, Prediction: 83-136
Processing example number: 276, Real Label = 82-117, Prediction: 75-105
Processing example number: 277, Real Label = 92-152, Prediction: 90-164
Processing example number: 278, Real Label = 73-133, Prediction: 72-120
Processing example number: 279, Real Label = 84-105, Prediction: 79-99
Processing example number: 280, Real Label = 91-132, Prediction: 90-140
Processing example number: 281, Real Label = 83-136, Prediction: 81-140
Processing example number: 282, Real Label = 81-120, Prediction: 77-119
Processing example number: 283, Real Label = 89-112, Prediction: 87-111
Processing example number: 284, Real Label = 96-146, Prediction: 94-144
Processing example number: 285, Real Label = 116-135, Prediction: 111-134
Processing example number: 286, Real Label = 124-154, Prediction: 122-150
Processing example number: 287, Real Label = 86-150, Prediction: 85-128
Processing example number: 288, Real Label = 95-126, Prediction: 96-110
Processing example number: 289, Real Label = 101-128, Prediction: 100-124
Processing example number: 290, Real Label = 94-124, Prediction: 93-126
Processing example number: 291, Real Label = 111-146, Prediction: 110-145
Processing example number: 292, Real Label = 94-125, Prediction: 93-123
Processing example number: 293, Real Label = 102-128, Prediction: 101-123
Processing example number: 294, Real Label = 105-170, Prediction: 105-180
Processing example number: 295, Real Label = 92-145, Prediction: 91-148
Processing example number: 296, Real Label = 94-120, Prediction: 94-118
Processing example number: 297, Real Label = 103-149, Prediction: 101-149
Processing example number: 298, Real Label = 77-147, Prediction: 85-142
Processing example number: 299, Real Label = 78-130, Prediction: 73-126
Processing example number: 300, Real Label = 95-126, Prediction: 93-126
Processing example number: 301, Real Label = 142-174, Prediction: 138-171
Processing example number: 302, Real Label = 97-135, Prediction: 91-134
Processing example number: 303, Real Label = 109-151, Prediction: 109-142
Processing example number: 304, Real Label = 98-132, Prediction: 97-131
Processing example number: 305, Real Label = 104-150, Prediction: 98-144
Processing example number: 306, Real Label = 100-151, Prediction: 99-158
Processing example number: 307, Real Label = 96-138, Prediction: 95-137
Processing example number: 308, Real Label = 88-118, Prediction: 87-121
Processing example number: 309, Real Label = 90-116, Prediction: 84-115
Processing example number: 310, Real Label = 92-125, Prediction: 92-125
Processing example number: 311, Real Label = 83-120, Prediction: 78-111
Processing example number: 312, Real Label = 87-116, Prediction: 86-109
Processing example number: 313, Real Label = 101-134, Prediction: 99-132
Processing example number: 314, Real Label = 122-154, Prediction: 118-153
Processing example number: 315, Real Label = 76-123, Prediction: 75-120
Processing example number: 316, Real Label = 102-139, Prediction: 97-122
Processing example number: 317, Real Label = 83-116, Prediction: 82-107
Processing example number: 318, Real Label = 134-193, Prediction: 133-191
Processing example number: 319, Real Label = 81-110, Prediction: 81-104
Processing example number: 320, Real Label = 90-130, Prediction: 89-133
Processing example number: 321, Real Label = 83-109, Prediction: 81-108
Processing example number: 322, Real Label = 90-132, Prediction: 89-138
Processing example number: 323, Real Label = 85-117, Prediction: 80-114
Processing example number: 324, Real Label = 90-131, Prediction: 89-137
Processing example number: 325, Real Label = 79-103, Prediction: 78-110
Processing example number: 326, Real Label = 91-109, Prediction: 91-105
Processing example number: 327, Real Label = 102-120, Prediction: 98-116
Processing example number: 328, Real Label = 93-140, Prediction: 93-143
Processing example number: 329, Real Label = 86-126, Prediction: 86-132
Processing example number: 330, Real Label = 106-140, Prediction: 98-136
Processing example number: 331, Real Label = 101-125, Prediction: 100-122
Processing example number: 332, Real Label = 293-312, Prediction: 291-309
Processing example number: 333, Real Label = 78-101, Prediction: 76-100
Processing example number: 334, Real Label = 77-97, Prediction: 75-94
Processing example number: 335, Real Label = 125-177, Prediction: 125-176
Processing example number: 336, Real Label = 82-117, Prediction: 81-109
Processing example number: 337, Real Label = 77-120, Prediction: 71-127
Processing example number: 338, Real Label = 88-117, Prediction: 86-124
Processing example number: 339, Real Label = 102-135, Prediction: 101-128
Processing example number: 340, Real Label = 97-116, Prediction: 90-117
Processing example number: 341, Real Label = 80-140, Prediction: 79-134
Processing example number: 342, Real Label = 109-147, Prediction: 109-146
Processing example number: 343, Real Label = 94-133, Prediction: 93-133
Processing example number: 344, Real Label = 84-140, Prediction: 83-139
Processing example number: 345, Real Label = 91-153, Prediction: 91-152
Processing example number: 346, Real Label = 78-107, Prediction: 78-104
Processing example number: 347, Real Label = 93-140, Prediction: 92-123
Processing example number: 348, Real Label = 84-130, Prediction: 83-124
Processing example number: 349, Real Label = 92-136, Prediction: 93-135
Processing example number: 350, Real Label = 92-144, Prediction: 93-138
Processing example number: 351, Real Label = 93-125, Prediction: 92-133
Processing example number: 352, Real Label = 95-123, Prediction: 91-123
Processing example number: 353, Real Label = 91-107, Prediction: 90-109
Processing example number: 354, Real Label = 142-186, Prediction: 130-185
Processing example number: 355, Real Label = 82-115, Prediction: 81-103
Processing example number: 356, Real Label = 97-125, Prediction: 86-125
Processing example number: 357, Real Label = 83-134, Prediction: 79-132
Processing example number: 358, Real Label = 84-119, Prediction: 83-118
Processing example number: 359, Real Label = 82-118, Prediction: 79-108
Processing example number: 360, Real Label = 81-107, Prediction: 78-107
Processing example number: 361, Real Label = 75-132, Prediction: 69-103
Processing example number: 362, Real Label = 75-134, Prediction: 87-130
Processing example number: 363, Real Label = 99-120, Prediction: 96-120
Processing example number: 364, Real Label = 81-126, Prediction: 80-122
Processing example number: 365, Real Label = 101-132, Prediction: 97-135
Processing example number: 366, Real Label = 93-127, Prediction: 89-128
Processing example number: 367, Real Label = 90-156, Prediction: 87-161
Processing example number: 368, Real Label = 89-145, Prediction: 87-142
Processing example number: 369, Real Label = 107-132, Prediction: 107-139
Processing example number: 370, Real Label = 82-129, Prediction: 78-116
Processing example number: 371, Real Label = 92-134, Prediction: 89-124
Processing example number: 372, Real Label = 86-125, Prediction: 81-122
Processing example number: 373, Real Label = 83-130, Prediction: 81-126
Processing example number: 374, Real Label = 94-120, Prediction: 88-120
Processing example number: 375, Real Label = 73-117, Prediction: 68-110
Processing example number: 376, Real Label = 80-113, Prediction: 74-109
Processing example number: 377, Real Label = 78-110, Prediction: 71-100
Processing example number: 378, Real Label = 95-141, Prediction: 93-147
Processing example number: 379, Real Label = 89-141, Prediction: 84-131
Processing example number: 380, Real Label = 88-146, Prediction: 83-144
Processing example number: 381, Real Label = 89-130, Prediction: 84-114
Processing example number: 382, Real Label = 78-135, Prediction: 77-112
Processing example number: 383, Real Label = 72-105, Prediction: 69-104
Processing example number: 384, Real Label = 79-118, Prediction: 75-119
Processing example number: 385, Real Label = 81-112, Prediction: 79-111
Processing example number: 386, Real Label = 91-126, Prediction: 85-122
Processing example number: 387, Real Label = 89-122, Prediction: 77-120
Processing example number: 388, Real Label = 98-140, Prediction: 93-130
Processing example number: 389, Real Label = 96-143, Prediction: 94-129
Processing example number: 390, Real Label = 86-152, Prediction: 78-108
Processing example number: 391, Real Label = 73-96, Prediction: 64-96
Processing example number: 392, Real Label = 90-121, Prediction: 81-110
Processing example number: 393, Real Label = 82-112, Prediction: 79-108
Processing example number: 394, Real Label = 76-135, Prediction: 81-128
Processing example number: 395, Real Label = 80-111, Prediction: 77-111
Processing example number: 396, Real Label = 107-138, Prediction: 106-139
Processing example number: 397, Real Label = 92-134, Prediction: 90-123
Processing example number: 398, Real Label = 81-111, Prediction: 74-110
Processing example number: 399, Real Label = 83-112, Prediction: 83-100
Processing example number: 400, Real Label = 80-104, Prediction: 77-98
Processing example number: 401, Real Label = 71-115, Prediction: 66-118
Processing example number: 402, Real Label = 90-149, Prediction: 85-157
Processing example number: 403, Real Label = 77-99, Prediction: 71-96
Processing example number: 404, Real Label = 78-108, Prediction: 70-100
Processing example number: 405, Real Label = 76-95, Prediction: 70-104
Processing example number: 406, Real Label = 91-119, Prediction: 89-123
Processing example number: 407, Real Label = 135-184, Prediction: 133-182
Processing example number: 408, Real Label = 77-117, Prediction: 75-124
Processing example number: 409, Real Label = 97-151, Prediction: 95-148
Processing example number: 410, Real Label = 103-145, Prediction: 93-137
Processing example number: 411, Real Label = 85-153, Prediction: 85-153
Processing example number: 412, Real Label = 82-152, Prediction: 77-117
Processing example number: 413, Real Label = 83-135, Prediction: 82-130
Processing example number: 414, Real Label = 83-109, Prediction: 77-107
Processing example number: 415, Real Label = 84-121, Prediction: 82-118
Processing example number: 416, Real Label = 86-105, Prediction: 78-102
Processing example number: 417, Real Label = 94-136, Prediction: 93-142
Processing example number: 418, Real Label = 86-101, Prediction: 84-109
Processing example number: 419, Real Label = 108-124, Prediction: 102-121
Processing example number: 420, Real Label = 91-134, Prediction: 91-138
Processing example number: 421, Real Label = 103-157, Prediction: 100-153
Processing example number: 422, Real Label = 86-107, Prediction: 86-107
Processing example number: 423, Real Label = 89-128, Prediction: 88-122
Processing example number: 424, Real Label = 75-105, Prediction: 69-103
Processing example number: 425, Real Label = 91-129, Prediction: 91-128
Processing example number: 426, Real Label = 91-114, Prediction: 90-109
Processing example number: 427, Real Label = 99-125, Prediction: 95-117
Processing example number: 428, Real Label = 77-91, Prediction: 76-87
Processing example number: 429, Real Label = 93-131, Prediction: 91-131
Processing example number: 430, Real Label = 81-108, Prediction: 81-107
Processing example number: 431, Real Label = 96-151, Prediction: 96-146
Processing example number: 432, Real Label = 95-131, Prediction: 94-130
Processing example number: 433, Real Label = 112-162, Prediction: 112-169
Processing example number: 434, Real Label = 101-122, Prediction: 94-129
Processing example number: 435, Real Label = 100-144, Prediction: 98-131
Processing example number: 436, Real Label = 124-165, Prediction: 125-158
Processing example number: 437, Real Label = 98-135, Prediction: 97-130
Processing example number: 438, Real Label = 105-156, Prediction: 103-152
Processing example number: 439, Real Label = 101-121, Prediction: 99-128
Processing example number: 440, Real Label = 85-104, Prediction: 79-106
Processing example number: 441, Real Label = 100-144, Prediction: 99-129
Processing example number: 442, Real Label = 113-138, Prediction: 112-139
Processing example number: 443, Real Label = 110-138, Prediction: 109-137
Processing example number: 444, Real Label = 111-175, Prediction: 111-180
Processing example number: 445, Real Label = 93-127, Prediction: 92-135
Processing example number: 446, Real Label = 114-135, Prediction: 113-134
Processing example number: 447, Real Label = 101-117, Prediction: 100-114
Processing example number: 448, Real Label = 94-131, Prediction: 94-130
Processing example number: 449, Real Label = 108-130, Prediction: 107-121
Processing example number: 450, Real Label = 91-123, Prediction: 90-122
Processing example number: 451, Real Label = 112-160, Prediction: 117-160
Processing example number: 452, Real Label = 85-115, Prediction: 83-113
Processing example number: 453, Real Label = 93-122, Prediction: 91-117
Processing example number: 454, Real Label = 122-153, Prediction: 116-145
Processing example number: 455, Real Label = 91-155, Prediction: 91-152
Processing example number: 456, Real Label = 84-144, Prediction: 84-132
Processing example number: 457, Real Label = 111-158, Prediction: 109-139
Processing example number: 458, Real Label = 139-202, Prediction: 138-207
Processing example number: 459, Real Label = 108-134, Prediction: 107-142
Processing example number: 460, Real Label = 101-118, Prediction: 100-116
Processing example number: 461, Real Label = 92-144, Prediction: 91-140
Processing example number: 462, Real Label = 89-113, Prediction: 88-109
Processing example number: 463, Real Label = 86-111, Prediction: 85-106
Processing example number: 464, Real Label = 96-156, Prediction: 95-156
Processing example number: 465, Real Label = 106-136, Prediction: 101-126
Processing example number: 466, Real Label = 102-144, Prediction: 101-140
Processing example number: 467, Real Label = 99-133, Prediction: 97-127
Processing example number: 468, Real Label = 91-136, Prediction: 84-113
Processing example number: 469, Real Label = 104-125, Prediction: 98-126
Processing example number: 470, Real Label = 100-120, Prediction: 91-127
Processing example number: 471, Real Label = 104-154, Prediction: 102-144
Processing example number: 472, Real Label = 137-175, Prediction: 136-175
Processing example number: 473, Real Label = 108-119, Prediction: 101-111
Processing example number: 474, Real Label = 139-166, Prediction: 136-168
Processing example number: 475, Real Label = 127-153, Prediction: 127-149
Processing example number: 476, Real Label = 90-161, Prediction: 112-158
Processing example number: 477, Real Label = 106-143, Prediction: 106-125
Processing example number: 478, Real Label = 101-142, Prediction: 100-147
Processing example number: 479, Real Label = 79-100, Prediction: 73-84
Processing example number: 480, Real Label = 91-164, Prediction: 89-166
Processing example number: 481, Real Label = 87-119, Prediction: 85-126
